trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_2.started,image_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_3.started,image_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_4.started,image_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,currTrial,imgName,mskName,soa,participant,date,expName,psychopyVersion,frameRate,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,1.671421500010183,29.58884599999874,None,29.405312599992612,30.405564200002118,30.388913999995566,30.422206799994456,30.57226190000074,30.605618199988385,4,imgs/2_1.png,imgs/2_2.png,0.14987811436647697,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.705493800007389,31.60610779999115,None,31.422631599998567,32.42308969999431,32.406397200000356,32.43976899998961,32.60662149998825,32.639922799993656,5,imgs/4_1.png,imgs/4_2.png,0.16272393527373455,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.8393656999978703,33.656932199999574,None,33.473595899995416,34.47397710000223,34.45726859998831,34.49065719998907,34.59068259999913,34.624056799992104,6,imgs/1_1.png,imgs/1_2.png,0.1080156818415178,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1.5192076999956043,36.20803739999246,None,36.02491120000195,37.025061199994525,37.00836849999905,37.041757999992114,37.15841940000246,37.19174939999357,7,imgs/3_1.png,imgs/3_2.png,0.12668600331199192,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.5713487999892095,38.509040499993716,None,38.32588550000219,39.32607879998977,39.30938989999413,39.342749799994635,39.392785999996704,39.42607419998967,8,imgs/1_1.png,imgs/1_2.png,0.053765489681701764,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.7427211999893188,40.409800099994754,None,40.22646019999229,41.22686059999978,41.21016190000228,41.243505699996604,41.29352009999275,41.326888299998245,9,imgs/1_1.png,imgs/1_2.png,0.049470112501115486,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1.5584638000000268,42.84422519999498,None,42.66125479999755,43.66127250000136,43.6445640999882,43.67792269999336,43.82798760000151,43.86139949999051,10,imgs/3_1.png,imgs/3_2.png,0.14362850350438017,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.61545820000174,45.14520780000021,None,44.962060099991504,45.96221739999601,45.94555340000079,45.978888999990886,46.09559919999447,46.12891369999852,11,imgs/4_1.png,imgs/4_2.png,0.11008635504433253,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1.5000863000022946,47.446200199992745,None,47.26315329999488,48.263246799993794,48.246540299995104,48.27990969999519,48.396601999993436,48.43000449999818,12,imgs/3_1.png,imgs/3_2.png,0.1260901381018021,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.7022951999970246,49.68049059998884,None,49.497446800000034,50.49747479999496,50.480823399993824,50.51417309998942,50.680867199989734,50.71425659999659,13,imgs/4_1.png,imgs/4_2.png,0.16004980576072436,1,2023_Apr_12_1631,meta-mask,2021.2.3,59.95778971571046,
