1.9271 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
36.0451 	EXP 	mask: autoDraw = False
36.4250 	EXP 	New trial (rep=34, index=0): None
36.4277 	DATA 	Keypress: 1
36.4340 	EXP 	circle: autoDraw = False
36.4340 	EXP 	mask: autoDraw = False
36.4340 	EXP 	circle: autoDraw = True
36.4548 	EXP 	circle: autoDraw = False
36.5243 	EXP 	mask: autoDraw = True
36.5451 	EXP 	mask: autoDraw = False
36.9723 	DATA 	Keypress: 2
36.9803 	EXP 	New trial (rep=35, index=0): None
36.9896 	EXP 	circle: autoDraw = False
36.9896 	EXP 	mask: autoDraw = False
36.9896 	EXP 	circle: autoDraw = True
37.0104 	EXP 	circle: autoDraw = False
37.0798 	EXP 	mask: autoDraw = True
37.1007 	EXP 	mask: autoDraw = False
37.5151 	EXP 	New trial (rep=36, index=0): None
37.5177 	DATA 	Keypress: 1
37.5243 	EXP 	circle: autoDraw = False
37.5243 	EXP 	mask: autoDraw = False
37.5243 	EXP 	circle: autoDraw = True
37.5451 	EXP 	circle: autoDraw = False
37.6146 	EXP 	mask: autoDraw = True
37.6354 	EXP 	mask: autoDraw = False
38.0782 	EXP 	New trial (rep=37, index=0): None
38.0807 	DATA 	Keypress: 2
38.0868 	EXP 	circle: autoDraw = False
38.0868 	EXP 	mask: autoDraw = False
38.0868 	EXP 	circle: autoDraw = True
38.1076 	EXP 	circle: autoDraw = False
38.1771 	EXP 	mask: autoDraw = True
38.1979 	EXP 	mask: autoDraw = False
38.6121 	EXP 	New trial (rep=38, index=0): None
38.6149 	DATA 	Keypress: 1
38.6215 	EXP 	circle: autoDraw = False
38.6215 	EXP 	mask: autoDraw = False
38.6215 	EXP 	circle: autoDraw = True
38.6424 	EXP 	circle: autoDraw = False
38.7119 	EXP 	mask: autoDraw = True
38.7326 	EXP 	mask: autoDraw = False
39.2034 	EXP 	New trial (rep=39, index=0): None
39.2060 	DATA 	Keypress: 2
39.2118 	EXP 	circle: autoDraw = False
39.2118 	EXP 	mask: autoDraw = False
39.2118 	EXP 	circle: autoDraw = True
39.2327 	EXP 	circle: autoDraw = False
39.3021 	EXP 	mask: autoDraw = True
39.3229 	EXP 	mask: autoDraw = False
39.7032 	DATA 	Keypress: 1
39.7049 	EXP 	circle: autoDraw = False
39.7049 	EXP 	mask: autoDraw = False
39.7840 	EXP 	window1: mouseVisible = True
