imageTest.thisRepN,imageTest.thisTrialN,imageTest.thisN,imageTest.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_5.started,image_5.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,key_resp_7.keys,key_resp_7.rt,polygon_6.started,polygon_6.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,currTrial,imgName,soa,fixTime,jitter,stim.started,stim.stopped,mask.started,mask.stopped,mainTrial_response.keys,mainTrial_response.rt,mainTrial_response.started,mainTrial_response.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,54.20024190000004,55.10050299999966,15,imgs/4_stim.png,0.08926807549755854,0.8884971171262539,0.2376269003920909,55.30060400000002,55.33391780000056,55.43400389999988,55.46733949999907,e,1.4166552999995474,54.38354789999903,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,55.834947600000305,56.50111800000013,16,imgs/3_stim.png,0.03392298698391281,0.6558306935313851,0.43909674806739807,56.91797910000059,56.951322700000674,56.98473319999903,57.018039900000076,d,1.4568407999995543,56.017559199999596,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,57.51821380000001,58.45192820000011,17,imgs/4_stim.png,0.040689798832877544,0.92568032181666,0.4195802528878328,58.85213060000024,58.885583499999484,58.918793700000606,58.95218299999942,e,1.495776300000216,57.70162840000012,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,59.23566899999969,59.985943899999256,18,imgs/4_stim.png,0.07307674904758173,0.7354255214161287,0.423964381655152,60.3694646999993,60.402763300000515,60.48614749999979,60.51948409999932,e,1.4084352999998373,59.41900960000021,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,60.869731099999626,61.453214499999376,19,imgs/1_stim.png,0.019490661462556694,0.5716109144723694,0.06342185294107128,61.48661489999904,61.51991239999916,61.536611899999116,61.569959200000085,q,1.040429499998936,61.05305360000057,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,20,0,20,0,,,,,,,,,,,,,,,,,62.1368564000004,62.97054659999958,20,imgs/4_stim.png,0.09929835266708896,0.8238151748109361,0.4805311694871367,63.420859500000006,63.45412919999944,63.55419789999905,63.58752470000036,e,1.5502085000007355,62.320232599999144,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,21,0,21,0,,,,,,,,,,,,,,,,,63.90428950000023,64.58793159999914,21,imgs/2_stim.png,0.014845100093880507,0.6784164323840312,0.3807541973346728,64.9380758999996,64.97147439999935,64.98810009999943,65.02146949999951,q,1.1907635000006849,64.08767699999953,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,22,0,22,0,,,,,,,,,,,,,,,,,65.32156889999897,65.85512720000042,22,imgs/4_stim.png,0.06066952617565845,0.5288457031921232,0.24121119853103745,66.07189809999909,66.10522320000018,66.17196019999938,66.20534980000048,e,0.9924215999999433,65.50502159999996,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,23,0,23,0,,,,,,,,,,,,,,,,,66.5387654999995,67.2723618,23,imgs/4_stim.png,0.119553215694349,0.729466898703657,0.13143668540412629,67.38912010000058,67.42257789999894,67.53919469999892,67.5725395999998,q,1.058040300000357,66.72221569999965,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,24,0,24,0,,,,,,,,,,,,,,,,,67.8226795999999,68.75634960000025,24,imgs/3_stim.png,0.0341674656874176,0.9184180795448116,0.14752552833232757,68.87310219999927,68.9064285000004,68.93974469999921,68.97313439999925,e,1.9222883000002184,68.00602479999907,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,25,0,25,0,,,,,,,,,,,,,,,,,69.97357600000032,70.57384020000063,25,imgs/2_stim.png,0.08280248743720942,0.5872948615256549,0.25464222952346116,70.79062789999989,70.82388659999924,70.90730590000021,70.94065790000059,q,1.0313624999998865,70.1570069999998,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,26,0,26,0,,,,,,,,,,,,,,,,,71.22408580000047,71.74095080000006,26,imgs/2_stim.png,0.029536683491133163,0.5121142113388908,0.49785597682242566,72.22453909999967,72.25783709999996,72.27453839999907,72.30790680000064,q,1.6550351000005321,71.40748789999998,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,27,0,27,0,,,,,,,,,,,,,,,,,73.10821209999995,73.74182010000004,27,imgs/3_stim.png,0.06787458411120585,0.6293559728254046,0.2678352532191391,73.99196379999921,74.02528669999992,74.09197630000017,74.12533760000042,d,1.3192474999996193,73.29165309999917,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,28,0,28,0,,,,,,,,,,,,,,,,,74.65890860000036,75.39255609999964,28,imgs/2_stim.png,0.05456828562503923,0.7243966831154571,0.16868183453592267,75.52594820000013,75.55928359999962,75.6259585000007,75.6593542999999,q,1.1694778000000952,74.84231720000025,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,29,0,29,0,,,,,,,,,,,,,,,,,76.05949999999939,76.77648769999905,29,imgs/1_stim.png,0.10861085741283975,0.7026020349208997,0.23113994738210525,76.9765826999992,77.00992980000046,77.1099350000004,77.14329449999968,a,1.2084386000005907,76.24293360000047,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,30,0,30,0,,,,,,,,,,,,,,,,,77.49345659999926,78.41057290000026,30,imgs/4_stim.png,0.10772532925040827,0.906332234438233,0.1455464725226137,78.52723630000037,78.56058420000045,78.66060749999997,78.69394769999963,e,1.2776033999998617,77.67687819999992,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,31,0,31,0,,,,,,,,,,,,,,,,,78.99409039999955,79.96115259999897,31,imgs/4_stim.png,0.05190771121975397,0.9562468958317807,0.4168331230641425,80.3446688999993,80.37799169999926,80.42816259999927,80.46143510000002,e,1.5929567000002862,79.17749150000054,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,32,0,32,0,,,,,,,,,,,,,,,,,80.81152549999933,81.39514570000028,32,imgs/2_stim.png,0.07680010040044556,0.575657366390941,0.3682923487610693,81.72857859999931,81.7619737999994,81.84532659999968,81.87873989999935,q,1.0733168999995542,80.99499139999898,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
