imageTest.thisRepN,imageTest.thisTrialN,imageTest.thisN,imageTest.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,polygon.started,polygon.stopped,currTrial,imgName,soa,fixTime,jitter,stim.started,stim.stopped,mask.started,mask.stopped,mainTrial_response.keys,mainTrial_response.rt,mainTrial_response.started,mainTrial_response.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,32,0,32,0,,,70.98804529999995,71.53830210000001,32,imgs/2_stim.png,0.05452707644540158,0.5413710545815571,0.17647001550130065,71.68843519999996,71.72169480000002,71.75510980000001,71.78835549999997,q,0.977866199999994,71.17146730000002,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,33,0,33,0,,,72.18856110000002,72.87222380000003,33,imgs/1_stim.png,0.071358085762019,0.6736546181088154,0.15365443388950795,73.00558590000003,73.03892699999994,73.08891219999998,73.12226750000002,a,1.0224421000000348,72.37196270000004,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,34,0,34,0,,,73.43909889999998,74.43951049999998,34,imgs/1_stim.png,0.0584102983914461,0.9889319890113888,0.3148057427043176,74.72299959999998,74.7563844,74.80634969999994,74.83967659999996,a,1.68991589999996,73.62252549999994,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,35,0,35,0,,,75.35658890000002,75.89016500000002,35,imgs/2_stim.png,0.06275970355768469,0.5293498866714876,0.17294701889252184,76.04121469999995,76.07377859999997,76.12379959999998,76.1579299,q,0.9412916999999652,75.53997400000003,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,36,0,36,0,,,76.52374940000004,77.4241538,36,imgs/4_stim.png,0.09929973734131947,0.8858976355427677,0.27181307777528807,77.67423369999995,77.70759569999996,77.7909469,77.82428279999999,e,1.6840956999999435,76.70723610000005,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,37,0,37,0,,,78.42455169999994,79.09157900000002,37,imgs/1_stim.png,0.09066069668183233,0.6603614019599111,0.39732135035789745,79.45836680000002,79.49167399999999,79.57509719999996,79.60843049999994,a,1.2652140000000145,78.60800299999994,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,38,0,38,0,,,79.90853589999995,80.85892430000001,38,imgs/3_stim.png,0.03199545157223773,0.9488906542292039,0.2070170623020594,81.04236639999999,81.07570399999997,81.09239619999994,81.12575000000004,a,2.5303791000000047,80.09192770000004,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,39,0,39,0,,,82.65972620000002,83.47673859999998,39,imgs/3_stim.png,0.07397339759665794,0.8160184827089381,0.10219401987041993,83.56009789999996,83.59353569999996,83.66016260000004,83.69350580000003,d,1.2803963999999723,82.84312680000005,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,40,0,40,0,,,84.1603546,84.86063850000005,40,imgs/3_stim.png,0.03110586011824493,0.6880858522259911,0.17472984656516166,85.01074429999994,85.04407779999997,85.06074920000003,85.09409429999994,d,1.7116704000000027,84.34377800000004,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,41,0,41,0,,,86.09451860000001,86.61143419999996,41,imgs/3_stim.png,0.03210532009172451,0.5120768523467218,0.2853244312477418,86.87822349999999,86.91155819999994,86.92822360000002,86.9615705,d,1.4535902000000078,86.2779203,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,42,0,42,0,,,87.77859060000003,88.56225719999998,42,imgs/4_stim.png,0.06728405145349285,0.7798425211124844,0.4669191637222133,89.01247230000001,89.04581740000003,89.09584099999995,89.12924869999995,e,1.7573574000000463,87.96200780000004,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,43,0,43,0,,,89.76279780000004,90.41303770000002,43,imgs/4_stim.png,0.03367223941735279,0.6485149548036306,0.19280856286880643,90.57979030000001,90.6132781,90.64653520000002,90.6798321,e,1.2944337999999789,89.94616959999996,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,44,0,44,0,,,91.28008039999997,91.7969488,44,imgs/1_stim.png,0.08372364295652318,0.5162582205874301,0.44456036427833345,92.23053440000001,92.26381649999996,92.33053129999996,92.36387939999997,a,1.3080108999999993,91.46353390000002,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,45,0,45,0,,,92.81408060000001,93.5643569,45,imgs/4_stim.png,0.048576974812195826,0.7422402368916725,0.41365923275490524,93.94791680000003,93.98123339999995,94.01460969999994,94.04793989999996,q,1.3560404000000972,92.99749210000004,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,46,0,46,0,,,94.39817310000001,95.16509010000004,46,imgs/1_stim.png,0.054639509191646195,0.7642467834865637,0.0037616112060266382,95.14842869999995,95.18177560000004,95.23176490000003,95.26515119999999,q,1.1917338000000655,94.58147489999999,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,47,0,47,0,,,95.81538609999996,96.61572520000004,47,imgs/1_stim.png,0.06859760541999896,0.7968475564409405,0.2878237262983142,96.88255789999994,96.91586389999998,96.9825108,97.01588770000001,a,1.3827082000000246,95.99877279999998,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,48,0,48,0,,,97.41603090000001,98.26646319999998,48,imgs/3_stim.png,0.09851274418172655,0.8467868803658651,0.3838432929821782,98.63331300000004,98.66660820000004,98.74993440000003,98.78334180000002,d,1.601236100000051,97.59948959999997,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,49,0,49,0,,,99.23352420000003,99.93377369999996,49,imgs/1_stim.png,0.06560684310380158,0.6892193977180934,0.4284593090683068,100.33395799999994,100.36735839999994,100.41735859999994,100.45071299999995,a,1.4325242999999546,99.41692349999994,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,50,0,50,0,,,100.88421329999994,101.86798220000003,50,imgs/2_stim.png,0.06836872652772794,0.9794582475002079,0.3904184921256631,102.23480119999999,102.26817640000002,102.31812960000002,102.3515089,q,1.6188614000000143,101.06766640000001,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,51,0,51,0,,,102.71832649999999,103.33525029999998,51,imgs/1_stim.png,0.08751390162478614,0.6046895888795918,0.08624071680857176,103.40196330000003,103.43532849999997,103.52137800000003,103.56872859999999,a,1.2767900000000054,102.90171759999998,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,52,0,52,0,,,104.2200219,105.2027597,52,imgs/4_stim.png,0.06450301368196351,0.9737027361620488,0.4422281897013089,105.61959549999995,105.65300869999999,105.70297849999997,105.73630930000002,e,1.7379247000000078,104.40239269999995,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,53,0,53,0,,,106.18646100000001,107.1702262,53,imgs/2_stim.png,0.08318727387241195,0.9836150980698699,0.1278752666316082,107.28695189999996,107.32032909999998,107.38701719999995,107.42036699999994,q,1.4375976999999693,106.36986739999998,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,54,0,54,0,,,107.8538466,108.73754369999995,54,imgs/1_stim.png,0.09730186925455286,0.8713380487046188,0.018890671525008007,108.72088629999996,108.75423379999995,108.83760419999999,108.87099079999996,a,1.080142599999931,108.03727839999999,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,55,0,55,0,,,109.1544275,109.737977,55,imgs/3_stim.png,0.08212453431608924,0.5785010182314565,0.052422738201853614,109.77137200000004,109.80467150000004,109.8714076,109.90471189999994,d,0.9717727999999397,109.33783700000004,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,56,0,56,0,,,110.35493529999997,110.87180330000001,56,imgs/4_stim.png,0.04835693114255385,0.5011811430689228,0.1262734174208584,110.97186729999999,111.00518709999994,111.03856640000004,111.07195249999995,e,0.8790642000000162,110.53835460000005,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,57,0,57,0,,,111.4554273,112.03899290000004,57,imgs/3_stim.png,0.05349186320109103,0.5763832060268951,0.049908587189329334,112.07240309999997,112.10571000000004,112.13917779999997,112.17253649999998,q,1.174411599999985,111.63882530000001,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,58,0,58,0,,,112.85599809999997,113.4229219,58,imgs/2_stim.png,0.030474090852321004,0.5520975972745037,0.00776400807372285,113.40619860000004,113.43960479999998,113.45624629999998,113.48962129999995,q,0.8818469000000277,113.03940249999994,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,59,0,59,0,,,113.95657719999997,114.54003899999998,59,imgs/4_stim.png,0.049727421765571884,0.5806950722516568,0.17375665421684894,114.69012840000005,114.72347060000004,114.77351650000003,114.80684229999997,e,0.9436296000000084,114.1399384,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,60,0,60,0,,,115.1236778,116.00739529999998,60,imgs/2_stim.png,0.07729018219581588,0.8843266315030565,0.24077094541659444,116.2241285,116.25746200000003,116.32413829999996,116.35748290000004,q,1.279153699999938,115.3070573,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,61,0,61,0,,,116.62431589999994,117.508014,61,imgs/1_stim.png,0.08884312655080659,0.8805146009552776,0.14285282919543585,117.62470740000003,117.6581013,117.74140149999994,117.77479570000003,a,1.2286331000000246,116.80771430000004,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,62,0,62,0,,,118.07489280000004,118.82521339999994,62,imgs/1_stim.png,0.053094614830898744,0.7472607932072026,0.3741806520460534,119.17541159999996,119.20878240000002,119.25880440000003,119.29207999999994,a,1.3721103999999968,118.2583085,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,63,0,63,0,,,119.67566590000001,120.67612550000001,63,imgs/2_stim.png,0.08625271383311993,0.9995549250168803,0.4838438348486306,121.14292490000003,121.17620350000004,121.24297979999994,121.27630599999998,q,1.7435219999999845,119.85901660000002,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,64,0,64,0,,,121.64310249999994,122.15995580000003,64,imgs/2_stim.png,0.0909246936948386,0.5015724765476757,0.040809463187496064,122.15995580000003,122.19371639999997,122.27672929999994,122.31008450000002,q,0.8337738999999829,121.82648419999998,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,65,0,65,0,,,122.69357639999998,123.36052849999999,65,imgs/1_stim.png,0.08698162375712873,0.6570773853456259,0.07564521383001432,123.41057839999996,123.44390509999994,123.527241,123.56056490000003,a,1.0285312999999405,122.87698539999997,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,66,0,66,0,,,123.94408320000002,124.82781020000004,66,imgs/4_stim.png,0.031134654653038288,0.8681800930221564,0.38342726947062783,125.17796810000004,125.21131160000004,125.22794269999997,125.26130169999999,e,1.4697516999999607,124.12757039999997,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,67,0,67,0,,,125.64480790000005,126.64525530000003,67,imgs/4_stim.png,0.08360021100812187,0.9974048614680435,0.28000879815959134,126.9120848,126.94541670000001,127.01208810000003,127.04545910000002,e,1.4032000999999354,125.82822950000002,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,68,0,68,0,,,127.27886969999997,127.84579499999995,68,imgs/3_stim.png,0.0918453586656899,0.5556197815821082,0.2462546860536154,128.06259620000003,128.09585730000003,128.1792534,128.21258739999996,d,1.0562373000000207,127.46223629999997,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,69,0,69,0,,,128.56275189999997,129.2797428,69,imgs/1_stim.png,0.048493937848708084,0.717439155122603,0.28607664389085247,129.54652139999996,129.5798615,129.61322800000005,129.6465925,a,1.6012699000000339,128.74617469999998,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,70,0,70,0,,,130.3802108,130.99710100000004,70,imgs/1_stim.png,0.0669463696310121,0.6116403535778969,0.20891287771132672,131.18053650000002,131.21389880000004,131.26390990000004,131.29725059999998,a,1.1208959000000505,130.5635843,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,71,0,71,0,,,131.7307624,132.61449470000002,71,imgs/2_stim.png,0.06921092638583737,0.8727928515198163,0.3116060570705403,132.89794540000003,132.9312632,132.98129440000002,133.01466359999995,q,1.3552687000000105,131.91415759999995,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,72,0,72,0,,,133.31476629999997,133.88166520000004,72,imgs/1_stim.png,0.047266045438202536,0.5659727937660877,0.04934428778978478,133.91503350000005,133.94839990000003,133.98172060000002,134.0150605,a,0.91434890000005,133.498202,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,73,0,73,0,,,134.44859699999995,135.24896850000005,73,imgs/3_stim.png,0.09889386685431532,0.8012111685318675,0.33901543133304174,135.56579580000005,135.59912429999997,135.6824461,135.71582939999996,d,1.4033527999999933,134.63205340000002,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,74,0,74,0,,,136.08264529999997,136.93304550000005,74,imgs/3_stim.png,0.03057583581152729,0.8387426974020831,0.052090703920503856,136.94965560000003,136.98304040000005,136.99965859999998,137.0330649,d,1.4053179,136.2660522,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,75,0,75,0,,,137.71667560000003,138.31694359999995,75,imgs/4_stim.png,0.051867492164787726,0.5963052152601507,0.023261911089566156,138.31694359999995,138.35028320000004,138.40030539999998,138.43368020000003,e,0.9153615999999829,137.90007130000004,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,76,0,76,0,,,138.85046190000003,139.83423059999996,76,imgs/4_stim.png,0.06397862790054151,0.9810707906136455,0.14848634592952747,139.96763699999997,140.00103160000003,140.05101709999997,140.08440080000003,e,1.3955952999999681,139.03394649999996,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,77,0,77,0,,,140.46785109999996,141.2014835,77,imgs/1_stim.png,0.08552313982149957,0.7327490996560093,0.28333202798587076,141.468304,141.50160329999994,141.56834230000004,141.6016525,a,1.1602459999999155,140.65123319999998,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,78,0,78,0,,,141.8517614,142.58545919999995,78,imgs/1_stim.png,0.09001088558450798,0.7216966085628431,0.3687153669250706,142.91891769999995,142.952223,143.03563139999994,143.06894839999995,a,1.2851971000000049,142.03519059999996,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,79,0,79,0,,,143.35240950000002,144.15281989999994,79,imgs/4_stim.png,0.07876869100233132,0.7906118340398104,0.41473422388900144,144.53622499999994,144.56961669999998,144.63631280000004,144.6696637,e,1.3265880999999808,143.5358162,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
