imageTest.thisRepN,imageTest.thisTrialN,imageTest.thisN,imageTest.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_5.started,image_5.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,key_resp_7.keys,key_resp_7.rt,polygon_6.started,polygon_6.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,currTrial,imgName,soa,fixTime,jitter,stim.started,stim.stopped,mask.started,mask.stopped,mainTrial_response.keys,mainTrial_response.rt,mainTrial_response.started,mainTrial_response.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,39.15165980000074,39.81860350000079,15,imgs/1_stim.png,0.04478588274717626,0.6645867791237173,0.21337152122836472,40.001979600000595,40.03533960000004,40.06873840000026,40.10208600000078,a,1.0303721000000223,39.33503180000025,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,40.40218510000068,41.11923360000037,16,imgs/3_stim.png,0.02266356652411134,0.7044363874437252,0.03377488417961394,41.11923360000037,41.152513800000634,41.169157400000586,41.20249420000073,d,1.0616667999993297,40.58561009999994,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,41.68605260000004,42.48640710000018,17,imgs/2_stim.png,0.03495964385994697,0.7940019181814251,0.13152338451026657,42.586457400000654,42.619804800000566,42.65316950000033,42.68650670000079,q,1.1537925999991785,41.86945319999995,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,43.06997330000013,43.97038020000036,18,imgs/1_stim.png,0.05640290095916176,0.8947184126580365,0.40495801351247024,44.35388890000013,44.38725250000061,44.42055540000001,44.45394269999997,a,1.5457253999993554,43.25343560000056,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,44.83741330000066,45.60441080000055,19,imgs/4_stim.png,0.035489534531011675,0.7553187280884193,0.32645188927785296,45.90454620000037,45.937892300000385,45.954667100000734,45.9879174000007,d,1.300433399999747,45.02083880000009,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,20,0,20,0,,,,,,,,,,,,,,,,,46.35471310000048,47.338470300000154,20,imgs/2_stim.png,0.01713201701408938,0.9782185646987891,0.2758514433969961,47.588579400000526,47.62195560000055,47.62195560000055,47.65529779999997,q,1.530152299999827,46.53811380000025,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,21,0,21,0,,,,,,,,,,,,,,,,,48.10547530000076,48.77243810000073,21,imgs/2_stim.png,0.03858181930186563,0.6604875459326784,0.47972366756148643,49.222612200000185,49.25595440000052,49.289332500000455,49.32263880000028,q,1.4843615999998292,48.28892420000011,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,22,0,22,0,,,,,,,,,,,,,,,,,49.806229700000586,50.62321940000038,22,imgs/3_stim.png,0.018948697942796775,0.8157757291865495,0.33546865782162905,50.940134400000716,50.973362100000486,50.973362100000486,51.00669780000044,e,1.7963994000001549,49.989633300000605,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,23,0,23,0,,,,,,,,,,,,,,,,,51.823763400000644,52.67414260000078,23,imgs/1_stim.png,0.051386840065575375,0.8489307877843177,0.3364552513865295,52.9908858000008,53.02425420000054,53.05758470000001,53.09093310000026,a,1.5130976999998893,52.007218300000204,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,24,0,24,0,,,,,,,,,,,,,,,,,53.55777570000009,54.42488780000076,24,imgs/1_stim.png,0.0768742635294901,0.8524140475280411,0.07772136971561933,54.474898000000394,54.508249100000285,54.55823500000042,54.59157800000048,d,1.436891899999864,53.74119990000054,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
